Country or area;UN continental region;UN statistical region;Population (1 July 2018);Population (1 July 2019);Change
Albania;Europe;Southern Europe;2,882,740;2,880,917;−0.06%
Algeria;Africa;Northern Africa;42,228,408;43,053,054;+1.95%
American Samoa;Oceania;Polynesia;55,465;55,312;−0.28%
Andorra;Europe;Southern Europe;77,006;77,142;+0.18%
Angola;Africa;Middle Africa;30,809,787;31,825,295;+3.30%
Anguilla;Americas;Caribbean;14,731;14,869;+0.94%
Antigua and Barbuda;Americas;Caribbean;96,286;97,118;+0.86%
Argentina;Americas;South America;44,361,150;44,780,677;+0.95%
Armenia;Asia;Western Asia;2,951,745;2,957,731;+0.20%
Aruba;Americas;Caribbean;105,845;106,314;+0.44%
Australia;Oceania;Australia and New Zealand;24,898,152;25,203,198;+1.23%
Austria;Europe;Western Europe;8,891,388;8,955,102;+0.72%
Azerbaijan;Asia;Western Asia;9,949,537;10,047,718;+0.99%
Bahamas;Americas;Caribbean;385,637;389,482;+1.00%
Bahrain;Asia;Western Asia;1,569,446;1,641,172;+4.57%
Bangladesh;Asia;Southern Asia;161,376,708;163,046,161;+1.03%
Barbados;Americas;Caribbean;286,641;287,025;+0.13%
Belarus;Europe;Eastern Europe;9,452,617;9,452,411;0.00%
Belgium;Europe;Western Europe;11,482,178;11,539,328;+0.50%
Belize;Americas;Central America;383,071;390,353;+1.90%
Benin;Africa;Western Africa;11,485,044;11,801,151;+2.75%
Bermuda;Americas;Northern America;62,756;62,506;−0.40%
Bhutan;Asia;Southern Asia;754,388;763,092;+1.15%
Bolivia;Americas;South America;11,353,142;11,513,100;+1.41%
Bosnia and Herzegovina;Europe;Southern Europe;3,323,925;3,301,000;−0.69%
Botswana;Africa;Southern Africa;2,254,068;2,303,697;+2.20%
Brazil;Americas;South America;209,469,323;211,049,527;+0.75%
British Virgin Islands;Americas;Caribbean;29,802;30,030;+0.77%
Brunei;Asia;South-eastern Asia;428,963;433,285;+1.01%
Bulgaria;Europe;Eastern Europe;7,051,608;7,000,119;−0.73%
Burkina Faso;Africa;Western Africa;19,751,466;20,321,378;+2.89%
Burundi;Africa;Eastern Africa;10,524,117;10,864,245;+3.23%
Cambodia;Asia;South-eastern Asia;16,249,792;16,486,542;+1.46%
